id,cena_pln,log_cena_pln,metraz_m2,log_metraz_m2,cena_za_m2,liczba_pokoi,pietro,pietro_maks,parter,ostatnie_pietro,dzielnica,data_pobrania
ID1amKGN,1130000,13.937728190688524,79.73,4.378645926514404,14172.83,4,1.0,,False,,Prądnik Biały,2026-08-05
ID4x5t4,295000,12.594730635321955,19.46,2.968361076757859,15159.3,1,3.0,3.0,False,1.0,Krowodrza,2026-08-05
ID19SK6A,750000,13.527828485512494,53.9,3.9871304779149512,13914.66,2,1.0,,False,,Stare Miasto,2026-08-05
ID4Cgis,1208760,14.005105598724729,57.56,4.052827882019167,21000.0,3,1.0,7.0,False,0.0,Grzegórzki,2026-08-05
ID4Ct1r,640000,13.369223455335854,37.85,3.6336309798834576,16908.85,2,3.0,4.0,False,0.0,Krowodrza,2026-08-05
ID4CwGb,969691,13.78473274302857,56.47,4.033709523684745,17171.79,3,1.0,,False,,Bronowice,2026-08-05
ID4C4dA,519000,13.159659162148026,35.0,3.5553480614894135,14828.57,1,0.0,3.0,True,0.0,Dębniki,2026-08-05
ID4ulqn,892000,13.701221411562146,49.25,3.8969093676180977,18111.68,3,8.0,9.0,False,0.0,Podgórze Duchackie,2026-08-05
ID4ANWz,790000,13.579788224443204,56.63,4.036538880125714,13950.2,3,0.0,2.0,True,0.0,Podgórze Duchackie,2026-08-05
ID1bvE23,749000,13.526494262499355,56.0,4.02535169073515,13375.0,3,7.0,,False,,Bieńczyce,2026-08-05
ID4Caw1,579000,13.269057756555132,26.86,3.2906381910950917,21556.22,1,1.0,3.0,False,0.0,Podgórze,2026-08-05
ID4Cep1,579000,13.269057756555132,35.5,3.56953269648137,16309.86,1,4.0,4.0,False,1.0,nieznana,2026-08-05
ID4BPxZ,660000,13.399995114002609,66.04,4.190260619051927,9993.94,2,2.0,3.0,False,0.0,Swoszowice,2026-08-05
ID4CjkU,420000,12.948009990259552,24.18,3.1855258451866466,17369.73,1,3.0,4.0,False,0.0,Bieńczyce,2026-08-05
ID4CnD6,999000,13.81451005763069,75.0,4.31748811353631,13320.0,3,2.0,3.0,False,0.0,Dębniki,2026-08-05
ID4Ct8c,719000,13.485616636703185,54.9,4.005513348515485,13096.54,3,4.0,10.0,False,0.0,Bieżanów-Prokocim,2026-08-05
ID1bwHj0,890000,13.698976741708323,65.65,4.184337600748806,13556.74,2,0.0,,True,,Dębniki,2026-08-05
ID4zD77,799000,13.591116224748411,61.5,4.119037174812473,12991.87,3,4.0,4.0,False,1.0,Podgórze,2026-08-05
ID4tIGC,706660,13.46830492397332,39.7,3.681351187693145,17800.0,2,1.0,7.0,False,0.0,nieznana,2026-08-05
ID1bzVTy,795000,13.58609739363647,54.26,3.9937873072307855,14651.68,2,5.0,,False,,Podgórze Duchackie,2026-08-05
